1,1613,23,2,0
1,1643,23,2,0
1,1650,23,2,0
1,1674,23,2,0
3,1678,1565,3,3
18,1678,1580,3,3
21,1589,0,1,2
21,1601,0,1,2
21,1619,0,1,2
21,1630,0,1,2
21,1655,0,1,2
21,1660,0,1,2
23,1613,45,3,0
23,1643,45,3,0
23,1650,45,3,0
23,1674,45,3,0
25,1678,3,0,2
40,1678,18,0,2
43,1589,22,2,3
43,1601,22,2,3
43,1630,22,2,3
43,1655,22,2,3
43,1660,22,2,3
45,1613,67,3,0
45,1643,67,3,0
45,1650,67,3,0
45,1674,67,3,0
47,1678,25,0,3
62,1678,40,0,3
65,1589,44,2,3
65,1601,44,2,3
65,1655,44,2,3
65,1660,44,2,3
67,1613,89,3,0
67,1643,89,3,0
67,1650,89,3,0
67,1674,89,3,0
69,1678,47,0,3
84,1678,62,0,3
87,1589,66,2,3
87,1601,66,2,3
87,1612,66,2,3
87,1614,66,2,3
87,1655,66,2,3
87,1660,66,2,3
89,1613,111,3,0
89,1643,111,3,0
89,1650,111,3,0
89,1674,111,3,0
91,1678,69,0,3
106,1678,84,0,3
109,1589,88,2,3
109,1601,88,2,3
109,1612,88,2,3
109,1614,88,2,3
109,1655,88,2,3
109,1660,88,2,3
111,1643,133,3,0
111,1650,133,3,0
111,1674,133,3,0
113,1678,91,0,3
128,1678,106,0,3
131,1589,110,2,3
131,1612,110,2,3
131,1614,110,2,3
131,1655,110,2,3
131,1660,110,2,3
133,1643,155,3,0
133,1650,155,3,0
133,1674,155,3,0
135,1678,113,0,3
150,1678,128,0,3
153,1589,132,2,3
153,1612,132,2,3
153,1614,132,2,3
153,1620,132,2,3
153,1655,132,2,3
153,1660,132,2,3
155,1643,177,3,0
155,1650,177,3,0
155,1674,177,3,0
157,1678,135,0,3
172,1678,150,0,3
175,1612,154,2,3
175,1614,154,2,3
175,1620,154,2,3
175,1655,154,2,3
175,1661,154,2,3
177,1643,199,3,0
177,1650,199,3,0
177,1674,199,3,0
179,1678,157,0,3
194,1678,172,0,3
197,1589,176,2,3
197,1612,176,2,3
197,1614,176,2,3
197,1619,176,2,3
197,1620,176,2,3
197,1655,176,2,3
197,1660,176,2,3
197,1661,176,2,3
199,1613,177,0,3
199,1643,221,3,0
199,1650,221,3,0
199,1674,221,3,0
201,1678,179,0,3
216,1678,194,0,3
219,1589,198,2,3
219,1612,198,2,3
219,1614,198,2,3
219,1619,198,2,3
219,1620,198,2,3
219,1630,198,2,3
219,1655,198,2,3
219,1660,198,2,3
219,1661,198,2,3
221,1613,199,0,3
221,1643,243,3,0
221,1650,243,3,0
221,1674,243,3,0
223,1678,201,0,3
238,1678,216,0,3
241,1589,220,2,3
241,1612,220,2,3
241,1614,220,2,3
241,1619,220,2,3
241,1620,220,2,3
241,1630,220,2,3
241,1642,220,2,3
241,1655,220,2,3
241,1660,220,2,3
241,1661,220,2,3
243,1613,221,0,3
243,1643,265,3,0
243,1650,265,3,0
245,1678,223,0,3
260,1678,238,0,3
263,1589,242,2,3
263,1612,242,2,3
263,1614,242,2,3
263,1619,242,2,3
263,1620,242,2,3
263,1630,242,2,3
263,1642,242,2,3
263,1655,242,2,3
263,1660,242,2,3
263,1661,242,2,3
265,1613,243,0,3
265,1643,287,3,0
265,1650,287,3,0
267,1678,245,0,3
282,1678,260,0,3
285,1588,264,2,3
285,1589,264,2,3
285,1601,264,2,3
285,1612,264,2,3
285,1614,264,2,3
285,1619,264,2,3
285,1620,264,2,3
285,1630,264,2,3
285,1642,264,2,3
285,1655,264,2,3
285,1660,264,2,3
285,1661,264,2,3
287,1613,265,0,3
287,1650,309,3,0
289,1678,267,0,3
304,1678,282,0,3
307,1588,286,2,3
307,1589,286,2,3
307,1601,286,2,3
