243,1588,265,3,0
512,1666,511,1,2
776,1608,775,1,2
1279,1673,1257,0,3
1280,1673,1258,0,3
1281,1673,1259,0,3
1292,1673,1270,0,3
1293,1673,1271,0,3
1294,1673,1272,0,3
1295,1673,1273,0,3
1501,1617,1523,3,0
1593,1673,1456,0,4
1595,1622,662,0,4
1611,1638,1459,0,4
1622,1595,662,0,4
1638,1611,1459,0,4
1673,1589,1273,0,4
1673,1593,1273,0,4
1673,1604,1273,0,4
1673,1616,1273,0,4
1673,1621,1273,0,4
1673,1640,1273,0,4
1673,1641,1273,0,4
1673,1644,1273,0,4
1673,1646,1273,0,4
1673,1648,1273,0,4
1673,1654,1273,0,4
1673,1658,1273,0,4
1673,1660,1273,0,4
1673,1667,1273,0,4
1673,1672,1273,0,4
1673,1676,1273,0,4
1673,1678,1273,0,4
1673,1681,1273,0,4
